# Inputs
# - sttic: number of `static` items
# - root_: number of uninlined function items
# - inlnd: number of inlined function items
# - bb___: number of basic blocks
# - ssd__: number of `SourceScopeData`s
# - stmt_: number of statements
# - term_: number of `Terminator`s; equal to bb___ (one terminator per basic block)
# - a_msg: number of assert messages
# - rval_: number of MIR `Rvalue`s
# - place: number of MIR `Place`s
# - proj_: number of MIR projections
# - proje: number of MIR projection elems
# - const: number of MIR constants
# - ty_cn: number of MIR `TyConst`s
# - ty___: number of MIR `Ty`s
# - regn_: number of MIR regions
# - args_: number of `GenericArgsRef`s
# - lc_dc: number of `LocalDecls`
# - vdi__: number of `VarDebugInfo`s
# - local: number of MIR locations(?)
# - argc_: number of function arguments
#
# Note: there will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for release builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic root_ inlnd bb___ ssd__ stmt_ term_ a_msg rval_ place proj_ proje const ty_cn ty___ regn_ args_ lc_dc vdi__ local argc_ est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-exa.94468f748b9f70b9-cgu.07_____________     0    41   182  1697  2419  6437  1697     7  2507  8574  8574  2207  1184     1  6409   301  1588  3171  2225 12716   313  8134   554.7    12.2   403.9   138.6
CGU-exa.94468f748b9f70b9-cgu.08_____________     2    61   197  1760  2269  6357  1760     4  2607  8835  8835  2395  1248     1  6489   252  1484  3234  2177 12831   370  8119   424.3    12.9   253.8   157.6
CGU-exa.94468f748b9f70b9-cgu.09_____________    46    81    67  1279  2448  6757  1279    20  2617  9065  9065  1083  1183     0  5511   160  1468  3140  2329 13320   329  8082   413.9     8.5   278.8   126.6
CGU-exa.94468f748b9f70b9-cgu.10_____________     0    54   124  1586  2344  6494  1586     6  2663  8734  8734  2203  1029     4  5863   217  1665  3121  2244 12743   315  8080   388.2    11.6   206.0   170.6
CGU-exa.94468f748b9f70b9-cgu.11_____________     0    90   146  1567  2571  6513  1567     6  2549  8672  8672  2580  1319     0  7026   158  1732  3233  2333 12867   341  8080   311.6    13.7   183.0   115.0
CGU-exa.94468f748b9f70b9-cgu.12_____________     2    59    92  1680  3274  6398  1680     0  2436  9125  9125  1182  2063   685  6013   134  2374  2964  3391 13232   236  8080   468.2    11.0   363.0    94.1
CGU-exa.94468f748b9f70b9-cgu.13_____________     0    63   178  1666  2512  6414  1666     6  2417  8405  8405  2611  1253     0  6850   217  1605  3248  2183 12639   347  8080   379.5    12.1   215.8   151.6
CGU-exa.94468f748b9f70b9-cgu.14_____________     0    64   198  1789  2361  6291  1789     4  2564  8688  8688  2552  1125     0  6465   250  1566  3253  2181 12693   335  8080   563.8    12.4   388.6   162.7
CGU-exa.94468f748b9f70b9-cgu.15_____________     8    57    93  1478  2580  6594  1478     8  2577  8903  8903  1729  1139   182  5601   221  1746  3020  2551 13066   239  8080   363.6    10.4   213.8   139.4
CGU-helloworld.466bef0191e09b27-cgu.0_______     0     3     6    21    15    44    21     0    16    65    65    10    16     0    76     2     7    41    13   102    14    65    20.1     2.9    11.2     6.0
