# Inputs
# - sttic: number of `static` items
# - root_: number of uninlined function items
# - inlnd: number of inlined function items
# - bb___: number of basic blocks
# - ssd__: number of `SourceScopeData`s
# - stmt_: number of statements
# - term_: number of `Terminator`s; equal to bb___ (one terminator per basic block)
# - a_msg: number of assert messages
# - rval_: number of MIR `Rvalue`s
# - place: number of MIR `Place`s
# - proj_: number of MIR projections
# - proje: number of MIR projection elems
# - const: number of MIR constants
# - ty_cn: number of MIR `TyConst`s
# - ty___: number of MIR `Ty`s
# - regn_: number of MIR regions
# - args_: number of `GenericArgsRef`s
# - lc_dc: number of `LocalDecls`
# - vdi__: number of `VarDebugInfo`s
# - local: number of MIR locations(?)
# - argc_: number of function arguments
#
# Note: there will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for release builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic root_ inlnd bb___ ssd__ stmt_ term_ a_msg rval_ place proj_ proje const ty_cn ty___ regn_ args_ lc_dc vdi__ local argc_ est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-hyper.f95cdac0e4971901-cgu.05___________    77   106    18   761   244  1042   761     9   927  2929  2929   350   660     4  2414   190   151  1362   260  3165   158  1880    66.4    18.7    47.7     0.0
CGU-hyper.f95cdac0e4971901-cgu.06___________     0   108    11   693   384  1187   693     5   760  2385  2385   455   336     1  1722    70   251   989   383  2929   159  1880    65.7    14.4    51.3     0.0
CGU-hyper.f95cdac0e4971901-cgu.07___________     0   305     0   877   506  1003   877     5   470  1972  1972   820   305     2  2333    92   172  1300   321  2817   366  1880    72.6    16.5    56.1     0.0
CGU-hyper.f95cdac0e4971901-cgu.08___________     0    85     6   515   583  1365   515     2   788  2465  2465   499   400     0  1839    79   369   956   533  3129   137  1880    46.2    11.8    34.4     0.0
CGU-hyper.f95cdac0e4971901-cgu.09___________     0   131    14   625   298  1255   625    50  1057  2892  2892   548   472     0  2414    91   199  1272   266  3235   154  1880    53.7    10.3    43.4     0.0
CGU-hyper.f95cdac0e4971901-cgu.10___________    56    82    13   801   226  1023   801     9   935  2924  2924   279   758     0  2397   178   170  1324   243  3102   128  1880    59.2    10.3    48.9     0.0
CGU-hyper.f95cdac0e4971901-cgu.11___________    66    49    17   711   193  1103   711     6   961  2870  2870   315   679     0  2323   212   200  1294   202  3074    79  1880    49.4     9.4    40.1     0.0
CGU-hyper.f95cdac0e4971901-cgu.12___________     0    91     3   631   484  1249   631     6   751  2670  2670   624   449     2  2024   134   346  1063   500  3262   116  1880    54.9    10.7    44.3     0.0
CGU-hyper.f95cdac0e4971901-cgu.13___________   104   116    23   751   235  1025   751     6   918  2877  2877   410   637     2  2388   172   134  1316   298  3118   219  1880    59.1    14.2    45.0     0.0
CGU-hyper.f95cdac0e4971901-cgu.14___________     0    62     4   556   545  1324   556     5   763  2401  2401   453   402     0  1696    77   382   903   469  3026    97  1880    54.1     9.0    45.1     0.0
