# Inputs
# - sttic: number of `static` items
# - rfn__: number of uninlined function items
#   - rbb__: number of basic blocks in uninlined functions
#     - rssd_: number of `SourceScopeData`s in uninlined functions
#     - rstmt: number of statements in uninlined functions
#       - rplac: number of MIR `Place`s in uninlined functions
#       - rproj: number of MIR projections in uninlined functions
#       - rcnst: number of MIR constants in uninlined functions
#     - rdecl: number of `LocalDecls` in uninlined functions
# - ifn__: number of inlined function items
#   - ibb__: number of basic blocks in inlined functions
#     - issd_: number of `SourceScopeData`s in inlined functions
#     - istmt: number of statements in inlined functions
#       - iplac: number of MIR `Place`s in inlined functions
#       - iproj: number of MIR projections in inlined functions
#       - icnst: number of MIR constants in inlined functions
#     - idecl: number of `LocalDecls` in inlined functions
#
# The nesting shows how things fit together. E.g. a function contains basic
# blocks, which contains statements, which contains places.
# There will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for opt builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic rfn__ ifn__ rbb__ ibb__ rssd_ issd_ rstmt istmt rplac iplac rproj iproj rcnst icnst rdecl idecl est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-memchr.e17c990bd22ac7c2-cgu.3___________     6    17    20   117   193   125   406   566   990   662  1221   108   179   117   174   271   429  3324    74.1    11.6    29.9    32.7
CGU-memchr.e17c990bd22ac7c2-cgu.4___________     0    16    37   116   214   248   279   541   894   771  1360   112   104    84   220   268   454  3174    84.8     7.2    36.2    41.4
CGU-memchr.e17c990bd22ac7c2-cgu.5___________     0    19    18   110   143   174   337   611   891   792  1053   106   233    93   122   300   365  3127   140.6     5.9    80.9    53.8
CGU-memchr.e17c990bd22ac7c2-cgu.6___________     0    35    35   105   188    95   256   321   830   504  1088    65   114    72   160   231   405  2767   149.2    14.6    80.6    54.0
CGU-memchr.e17c990bd22ac7c2-cgu.7___________     0    21    19   140   112    83   214   633   627   782   772    89   125   100    75   294   276  2620   111.7     3.8    56.5    51.4
CGU-memchr.e17c990bd22ac7c2-cgu.8___________     0     4    35    21   213    10   351    59  1156    76  1565    15   138    14   232    34   538  2250   145.8     6.3    74.2    65.3
CGU-regex_syntax.a86257c5ce58a3db-cgu.00____     0    86   181  2138  1066  3107  1550  9383  4010 11825  5514  2783  1545  1625   567  3868  2044 39740  1089.7    19.7   745.3   324.6
CGU-regex_syntax.a86257c5ce58a3db-cgu.01____     0   142   251  1409  1439  1652  1778  5991  4676  7457  6581  1673  1954  1083   789  2755  2494 34444   627.4    16.9   418.3   192.1
CGU-regex_syntax.a86257c5ce58a3db-cgu.02____     0   153   234   880  1096  2018  1508  5457  3215  7347  4853  1562  1403   757   537  2695  1963 25692   506.5    15.6   332.6   158.3
CGU-regex_syntax.a86257c5ce58a3db-cgu.03____     0    44   188   633  1304   618  2104  2142  5334  2785  7213   702  1865   460   817   981  2587 23827   485.4    11.5   314.1   159.8
CGU-regex_syntax.a86257c5ce58a3db-cgu.04____     0    77   116  1313   677  1001  1079  4441  2463  5580  3461  1330   742   844   434  2101  1333 22218   661.3    11.0   462.2   188.1
CGU-regex_syntax.a86257c5ce58a3db-cgu.05____     0   147    21  1373   171  4132   385  7832   820 10292  1195  1515   130   900   145  3548   413 17388   188.9     8.4    90.2    90.3
CGU-regex_syntax.a86257c5ce58a3db-cgu.06____     0   127   107   817   363   717   646  3154  1028  4149  1541  1099   453   691   141  1607   697 14468   323.9     7.2   238.6    78.1
